acc_num,seq_len,description,record_date,organism,segment_source,cds,host,isolate_source,isolate_name,country_region,collection_date,e_value,pcnt_id,align_len
MN624449.1,538,"Orthonairovirus haemorrhagiae isolate 261-ROS/TI-2015 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,tick,261-ROS/TI-2015,Russia,08-Jun-2015,2.4367e-124,99.4413407821229,179
MN624448.1,538,"Orthonairovirus haemorrhagiae isolate 257-ROS/TI-2015 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,tick,257-ROS/TI-2015,Russia,08-Jun-2015,2.73471e-125,100.0,179
MN624447.1,538,"Orthonairovirus haemorrhagiae isolate 202-ROS/TI-2015 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,tick,202-ROS/TI-2015,Russia,27-May-2015,2.73471e-125,100.0,179
MN624446.1,538,"Orthonairovirus haemorrhagiae isolate 190-ROS/TI-2015 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,tick,190-ROS/TI-2015,Russia,27-May-2015,2.73471e-125,100.0,179
MN624445.1,538,"Orthonairovirus haemorrhagiae isolate 130-ROS/TI-2015 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,tick,130-ROS/TI-2015,Russia,20-May-2015,2.73471e-125,100.0,179
MN624444.1,538,"Orthonairovirus haemorrhagiae isolate 129-ROS/TI-2015 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,tick,129-ROS/TI-2015,Russia,20-May-2015,3.5198e-124,99.4413407821229,179
MN624443.1,538,"Orthonairovirus haemorrhagiae isolate 79-ROS/TI-2015 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,tick,79-ROS/TI-2015,Russia,13-May-2015,2.73471e-125,100.0,179
MN624442.1,538,"Orthonairovirus haemorrhagiae isolate 126-ROS/TI-2015 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,tick,126-ROS/TI-2015,Russia,19-May-2015,2.73471e-125,100.0,179
MN624441.1,538,"Orthonairovirus haemorrhagiae isolate 36-ROS/TI-2015 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,tick,36-ROS/TI-2015,Russia,12-May-2015,2.73471e-125,100.0,179
MN624440.1,538,"Orthonairovirus haemorrhagiae isolate 1338-ROS/TI-2015 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,tick,1338-ROS/TI-2015,Russia,21-Jul-2015,2.73471e-125,100.0,179
MN624439.1,538,"Orthonairovirus haemorrhagiae isolate 1337-ROS/TI-2015 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,tick,1337-ROS/TI-2015,Russia,21-Jul-2015,2.73471e-125,100.0,179
MN624438.1,538,"Orthonairovirus haemorrhagiae isolate 1332-ROS/TI-2015 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,tick,1332-ROS/TI-2015,Russia,21-Jul-2015,2.73471e-125,100.0,179
MN624437.1,538,"Orthonairovirus haemorrhagiae isolate 1308-STV/TI-2015 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,tick,1308-STV/TI-2015,Russia,14-Jul-2015,2.73471e-125,100.0,179
MN624436.1,538,"Orthonairovirus haemorrhagiae isolate 1305-STV/TI-2015 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,tick,1305-STV/TI-2015,Russia,14-Jul-2015,2.73471e-125,100.0,179
MN624435.1,538,"Orthonairovirus haemorrhagiae isolate 1302-STV/TI-2015 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,tick,1302-STV/TI-2015,Russia,14-Jul-2015,2.73471e-125,100.0,179
MN624434.1,538,"Orthonairovirus haemorrhagiae isolate 4-ASTR/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,4-ASTR/HU-2016,Russia,02-Jun-2016,1.2139e-124,99.4413407821229,179
MN624433.1,538,"Orthonairovirus haemorrhagiae isolate 2-ASTR/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,2-ASTR/HU-2016,Russia,28-May-2016,2.73471e-125,100.0,179
MN624432.1,538,"Orthonairovirus haemorrhagiae isolate 5-ASTR/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,5-ASTR/HU-2016,Russia,24-Jun-2016,2.73471e-125,100.0,179
MN624431.1,538,"Orthonairovirus haemorrhagiae isolate 1-ASTR/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,1-ASTR/HU-2016,Russia,10-May-2016,2.73471e-125,100.0,179
MN624430.1,538,"Orthonairovirus haemorrhagiae isolate 7204-VOL/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,7204-VOL/HU-2016,Russia,18-May-2016,2.73471e-125,100.0,179
MN624429.1,538,"Orthonairovirus haemorrhagiae isolate 8035-VOL/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,8035-VOL/HU-2016,Russia,31-May-2016,2.73471e-125,100.0,179
MN624428.1,538,"Orthonairovirus haemorrhagiae isolate 8590-VOL/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,8590-VOL/HU-2016,Russia,03-Jun-2016,2.73471e-125,100.0,179
MN624427.1,538,"Orthonairovirus haemorrhagiae isolate 8721-VOL/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,8721-VOL/HU-2016,Russia,07-Jun-2016,1.29898e-124,99.4413407821229,179
MN624426.1,538,"Orthonairovirus haemorrhagiae isolate 6481-VOL/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,6481-VOL/HU-2016,Russia,26-Apr-2016,7.06008e-125,99.4413407821229,179
MN624425.1,538,"Orthonairovirus haemorrhagiae isolate 8036-VOL/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,8036-VOL/HU-2016,Russia,30-May-2016,2.73471e-125,100.0,179
MN624424.1,538,"Orthonairovirus haemorrhagiae isolate 6763-VOL/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,6763-VOL/HU-2016,Russia,12-May-2016,2.73471e-125,100.0,179
MN624423.1,538,"Orthonairovirus haemorrhagiae isolate 1-KBR/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,1-KBR/HU-2016,Russia,03-Jul-2016,1.29898e-124,99.4413407821229,179
MN624422.1,538,"Orthonairovirus haemorrhagiae isolate 12-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,12-KALM/HU-2016,Russia,14-Jun-2016,2.73471e-125,100.0,179
MN624421.1,538,"Orthonairovirus haemorrhagiae isolate 2-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,2-KALM/HU-2016,Russia,06-May-2016,2.73471e-125,100.0,179
MN624420.1,538,"Orthonairovirus haemorrhagiae isolate 16-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,16-KALM/HU-2016,Russia,20-Jun-2016,2.73471e-125,100.0,179
MN624419.1,538,"Orthonairovirus haemorrhagiae isolate 6-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,6-KALM/HU-2016,Russia,10-May-2016,2.73471e-125,100.0,179
MN624418.1,538,"Orthonairovirus haemorrhagiae isolate 8-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,8-KALM/HU-2016,Russia,30-May-2016,2.73471e-125,100.0,179
MN624417.1,538,"Orthonairovirus haemorrhagiae isolate 14-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,14-KALM/HU-2016,Russia,13-Jun-2016,2.73471e-125,100.0,179
MN624416.1,538,"Orthonairovirus haemorrhagiae isolate 19-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,19-KALM/HU-2016,Russia,28-Jun-2016,2.73471e-125,100.0,179
MN624415.1,538,"Orthonairovirus haemorrhagiae isolate 20-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,20-KALM/HU-2016,Russia,25-Jun-2016,2.73471e-125,100.0,179
MN624414.1,538,"Orthonairovirus haemorrhagiae isolate 4-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,4-KALM/HU-2016,Russia,11-May-2016,2.73471e-125,100.0,179
MN624413.1,538,"Orthonairovirus haemorrhagiae isolate 17-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,17-KALM/HU-2016,Russia,20-Jun-2016,2.73471e-125,100.0,179
MN624412.1,538,"Orthonairovirus haemorrhagiae isolate 18-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,18-KALM/HU-2016,Russia,22-Jun-2016,2.73471e-125,100.0,179
MN624411.1,538,"Orthonairovirus haemorrhagiae isolate 11-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,11-KALM/HU-2016,Russia,05-Jun-2016,2.73471e-125,100.0,179
MN624410.1,538,"Orthonairovirus haemorrhagiae isolate 15-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,15-KALM/HU-2016,Russia,16-Jun-2016,2.73471e-125,100.0,179
MN624409.1,538,"Orthonairovirus haemorrhagiae isolate 10-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,10-KALM/HU-2016,Russia,03-Jun-2016,2.73471e-125,100.0,179
MN624408.1,538,"Orthonairovirus haemorrhagiae isolate 3-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,3-KALM/HU-2016,Russia,06-May-2016,2.73471e-125,100.0,179
MN624407.1,538,"Orthonairovirus haemorrhagiae isolate 1-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,1-KALM/HU-2016,Russia,26-Apr-2016,2.73471e-125,100.0,179
MN624406.1,538,"Orthonairovirus haemorrhagiae isolate 25-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,25-KALM/HU-2016,Russia,09-Jul-2016,6.28598e-125,99.4413407821229,179
MN624405.1,538,"Orthonairovirus haemorrhagiae isolate 22-KALM/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,22-KALM/HU-2016,Russia,04-Jul-2016,6.28598e-125,99.4413407821229,179
MN624404.1,538,"Orthonairovirus haemorrhagiae isolate 48-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,48-ROS/HU-2016,Russia,13-May-2016,2.73471e-125,100.0,179
MN624403.1,538,"Orthonairovirus haemorrhagiae isolate 122-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,122-ROS/HU-2016,Russia,26-Jun-2016,2.73471e-125,100.0,179
MN624402.1,538,"Orthonairovirus haemorrhagiae isolate 86-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,86-ROS/HU-2016,Russia,04-Jun-2016,1.0808e-124,99.4413407821229,179
MN624401.1,538,"Orthonairovirus haemorrhagiae isolate 66-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,66-ROS/HU-2016,Russia,19-May-2016,2.73471e-125,100.0,179
MN624400.1,538,"Orthonairovirus haemorrhagiae isolate 93-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,93-ROS/HU-2016,Russia,09-Jun-2016,2.73471e-125,100.0,179
MN624399.1,538,"Orthonairovirus haemorrhagiae isolate 99-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,99-ROS/HU-2016,Russia,12-Jun-2016,2.73471e-125,100.0,179
MN624398.1,538,"Orthonairovirus haemorrhagiae isolate 12-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,12-ROS/HU-2016,Russia,01-May-2016,2.73471e-125,100.0,179
MN624397.1,538,"Orthonairovirus haemorrhagiae isolate 84-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,84-ROS/HU-2016,Russia,05-Jun-2016,9.43847e-125,99.4413407821229,179
MN624396.1,538,"Orthonairovirus haemorrhagiae isolate 120-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,120-ROS/HU-2016,Russia,27-Jun-2016,2.73471e-125,100.0,179
MN624395.1,538,"Orthonairovirus haemorrhagiae isolate 39-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,39-ROS/HU-2016,Russia,11-May-2016,2.73471e-125,100.0,179
MN624394.1,538,"Orthonairovirus haemorrhagiae isolate 14-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,14-ROS/HU-2016,Russia,03-May-2016,2.73471e-125,100.0,179
MN624393.1,538,"Orthonairovirus haemorrhagiae isolate 72-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,72-ROS/HU-2016,Russia,25-May-2016,2.73471e-125,100.0,179
MN624392.1,538,"Orthonairovirus haemorrhagiae isolate 121-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,121-ROS/HU-2016,Russia,27-Jun-2016,2.73471e-125,100.0,179
MN624391.1,538,"Orthonairovirus haemorrhagiae isolate 67-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,67-ROS/HU-2016,Russia,21-May-2016,2.38999e-124,98.88268156424581,179
MN624390.1,538,"Orthonairovirus haemorrhagiae isolate 47-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,47-ROS/HU-2016,Russia,10-May-2016,2.73471e-125,100.0,179
MN624389.1,538,"Orthonairovirus haemorrhagiae isolate 95-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,95-ROS/HU-2016,Russia,09-Jun-2016,2.73471e-125,100.0,179
MN624388.1,538,"Orthonairovirus haemorrhagiae isolate 102-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,102-ROS/HU-2016,Russia,14-Jun-2016,2.73471e-125,100.0,179
MN624387.1,538,"Orthonairovirus haemorrhagiae isolate 83-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,83-ROS/HU-2016,Russia,03-Jun-2016,2.73471e-125,100.0,179
MN624386.1,538,"Orthonairovirus haemorrhagiae isolate 118-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,118-ROS/HU-2016,Russia,27-Jun-2016,2.73471e-125,100.0,179
MN624385.1,538,"Orthonairovirus haemorrhagiae isolate 6-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,6-ROS/HU-2016,Russia,23-Apr-2016,2.73471e-125,100.0,179
MN624384.1,538,"Orthonairovirus haemorrhagiae isolate 9-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,9-ROS/HU-2016,Russia,26-Apr-2016,2.73471e-125,100.0,179
MN624383.1,538,"Orthonairovirus haemorrhagiae isolate 17-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,17-ROS/HU-2016,Russia,04-May-2016,2.73471e-125,100.0,179
MN624382.1,538,"Orthonairovirus haemorrhagiae isolate 70-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,70-ROS/HU-2016,Russia,25-May-2016,9.08697e-124,98.88268156424581,179
MN624381.1,538,"Orthonairovirus haemorrhagiae isolate 25-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,25-ROS/HU-2016,Russia,06-May-2016,2.73471e-125,100.0,179
MN624380.1,538,"Orthonairovirus haemorrhagiae isolate 69-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,69-ROS/HU-2016,Russia,22-May-2016,2.73471e-125,100.0,179
MN624379.1,538,"Orthonairovirus haemorrhagiae isolate 27-ROS/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,27-ROS/HU-2016,Russia,05-May-2016,6.5341e-125,99.4413407821229,179
MN624378.1,538,"Orthonairovirus haemorrhagiae isolate 185-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,185-STV/HU-2016,Russia,17-Jul-2016,2.73471e-125,100.0,179
MN624377.1,538,"Orthonairovirus haemorrhagiae isolate 168-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,168-STV/HU-2016,Russia,03-Jul-2016,2.73471e-125,100.0,179
MN624376.1,538,"Orthonairovirus haemorrhagiae isolate 67-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,67-STV/HU-2016,Russia,26-May-2016,8.82024e-125,99.4413407821229,179
MN624375.1,538,"Orthonairovirus haemorrhagiae isolate 144-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,144-STV/HU-2016,Russia,24-Jun-2016,2.73471e-125,100.0,179
MN624374.1,538,"Orthonairovirus haemorrhagiae isolate 119-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,119-STV/HU-2016,Russia,21-Jun-2016,1.2139e-124,99.4413407821229,179
MN624373.1,538,"Orthonairovirus haemorrhagiae isolate 161-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,161-STV/HU-2016,Russia,28-Jun-2016,2.73471e-125,100.0,179
MN624372.1,538,"Orthonairovirus haemorrhagiae isolate 19-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,19-STV/HU-2016,Russia,28-Apr-2016,2.73471e-125,100.0,179
MN624371.1,538,"Orthonairovirus haemorrhagiae isolate 43-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,43-STV/HU-2016,Russia,14-May-2016,2.73471e-125,100.0,179
MN624370.1,538,"Orthonairovirus haemorrhagiae isolate 28-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,28-STV/HU-2016,Russia,04-May-2016,2.73471e-125,100.0,179
MN624369.1,538,"Orthonairovirus haemorrhagiae isolate 147-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,147-STV/HU-2016,Russia,26-Jun-2016,1.27408e-124,99.4413407821229,179
MN624368.1,538,"Orthonairovirus haemorrhagiae isolate 204-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,204-STV/HU-2016,Russia,18-Aug-2016,2.73471e-125,100.0,179
MN624367.1,538,"Orthonairovirus haemorrhagiae isolate 63-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,63-STV/HU-2016,Russia,25-May-2016,2.73471e-125,100.0,179
MN624366.1,538,"Orthonairovirus haemorrhagiae isolate 140-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,140-STV/HU-2016,Russia,25-Jun-2016,2.73471e-125,100.0,179
MN624365.1,538,"Orthonairovirus haemorrhagiae isolate 7-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,7-STV/HU-2016,Russia,25-Apr-2016,2.73471e-125,100.0,179
MN624364.1,538,"Orthonairovirus haemorrhagiae isolate 201-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,201-STV/HU-2016,Russia,03-Aug-2016,2.73471e-125,100.0,179
MN624363.1,538,"Orthonairovirus haemorrhagiae isolate 192-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,192-STV/HU-2016,Russia,22-Jul-2016,2.73471e-125,100.0,179
MN624362.1,538,"Orthonairovirus haemorrhagiae isolate 114-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,114-STV/HU-2016,Russia,20-Jun-2016,2.73471e-125,100.0,179
MN624361.1,538,"Orthonairovirus haemorrhagiae isolate 26-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,26-STV/HU-2016,Russia,04-May-2016,2.73471e-125,100.0,179
MN624360.1,538,"Orthonairovirus haemorrhagiae isolate 126-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,126-STV/HU-2016,Russia,20-Jun-2016,2.73471e-125,100.0,179
MN624359.1,538,"Orthonairovirus haemorrhagiae isolate 41-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,41-STV/HU-2016,Russia,10-May-2016,2.73471e-125,100.0,179
MN624358.1,538,"Orthonairovirus haemorrhagiae isolate 149-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,149-STV/HU-2016,Russia,27-Jun-2016,2.73471e-125,100.0,179
MN624357.1,538,"Orthonairovirus haemorrhagiae isolate 132-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,132-STV/HU-2016,Russia,22-Jun-2016,2.73471e-125,100.0,179
MN624356.1,538,"Orthonairovirus haemorrhagiae isolate 40-STV/HU-2016 nucleocapsid protein gene, partial cds",27-JUL-2020,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,blood,40-STV/HU-2016,Russia,11-May-2016,2.73471e-125,100.0,179
