Authors,Title,Journal,PMID,Year,accession,RefID,FirstAuthorSurname,ShortName
"Albarino C., Bergeron E., Guerrero L., Khristova M., Metcalfe M., Pegan S., Spiropoulou C., Zivcec M.",Assessment of Inhibitors of Pathogenic Crimean-Congo Hemorrhagic Fever Virus Strains Using Virus-Like Particles,"1600 Clifton Rd. NE, Atlanta, Centers for Disease Control and Prevention, E0004259 (2015), GA 30329, PLoS Negl Trop Dis 9 (12), USA, Viral Special Pathogens Branch",26625182,2015,"KR864901, KR864902",77,Albarino,"Albarino (2015, 26625182)"
"Aligholipour farzani T., Ergunay K., Farzani T., Foldes K., Hanifehnezhad A., Hashim mohamed ali H., Muhamed ali H., Ozkul A., Yilmaz E.",Co-Delivery Effect of CD24 on the Immunogenicity and Lethal Challenge Protection of a DNA Vector Expressing Nucleocapsid Protein of Crimean Congo Hemorrhagic Fever Virus,"Ankara 06110, Ankara University, Department of Virology, E75 (2019), Faculty of Veterinary Medicine, Sehit Omer Halisdemir Blv. Diskapi, Turkey, Viruses 11 (1)",30658445,"2018, 2019","MK309333, MK309334",78,Aligholipour farzani,"Aligholipour farzani (2019, 30658445)"
"Aradaib I., Elageb R., Erickson B., Karsany M., Khristova M., Mohamed M., Nichol S.","2008-2009, Multiple crimean-congo hemorrhagic Fever virus strains are associated with disease outbreaks in Sudan","1600 Clifton Road, Atlanta, Centers for Disease Control and Prevention, E1159 (2011), GA 30333, PLoS Negl Trop Dis 5 (5), Special Pathogens Branch, USA",21655310,"2010, 2011","HQ378179, HQ378180, HQ378181, HQ378182, HQ378183, HQ378184, HQ378185, HQ378186, HQ378187",79,Aradaib,"Aradaib (2011, 21655310)"
"Aradaib I., Elageb R., Erickson B., Karsany M., Khristova M., Mustafa M., Nichol S., Saeed N.","Nosocomial outbreak of Crimean-Congo hemorrhagic fever, Sudan","1600 Clifton Road, 837-839 (2010), Atlanta, Centers for Disease Control and Prevention, Emerging Infect. Dis. 16 (5), GA 30333, Special Pathogens Branch, USA",20409377,"2009, 2010","GQ862371, GQ862372",80,Aradaib,"Aradaib (2010, 20409377)"
"Ashraf S., Balinandi S., Bugembe D., Bukenya H., Bwogi J., Byaruhanga T., Da silva filipe A., Davis C., Downing R., Jerome H., Kaleebu P., Kayiwa J., Kigozi B., Logan N., Lutwama J., Mcconnell W., Namuwulya P., Salazar M., Salazar-gonzalez J., Shepherd J., Sreenu V., Ssekagiri A., Ssemwanga D., Thomson E., Wilkie G., Willett B.",Emerging viruses are an underestimated cause of undiagnosed febrile illness in Uganda,"464 Bearsden Road, Glasgow G61 1QH, MRC Centre for Virus Research, United Kingdom, University of Glasgow, Unpublished",,2022,"OQ077990, OQ077991",81,Ashraf,Ashraf (2022)
"Al-abaidani I., Al-abri S., Al-jardani A., Al-kindi H., Al-maani A., Al-mahrooqi S., Al-rawahi B., Almahrouqi S., Atkinson B., Bawakir S., Beeching N., Hewson R.",Human cases of CCHFV in Oman 2012-2014,"Manor Farm Road, Public Health England, Research, Salisbury, UK, Unpublished, Wiltshire SP4 0JG",,2018,"MH037279, MH037280, MH037281, MH037282, MH037283, MH037284, MH037285, MH037286, MH037287, MH037288, MH037289, MH037290",82,Al-abaidani,Al-abaidani (2018)
"Altaf L., Atkinson B., Chamberlain J., Hasan Z., Hewson R., Jamil B., Mahmood F., Moatter T., Mohammed M., Samreen A.","Crimean-Congo hemorrhagic fever nosocomial infection in a immunosuppressed patient, Pakistan: case report and virological investigation","501-504 (2013), Health Protection Agency, J. Med. Virol. 85 (3), Manor Farm Road, Research, Salisbury, UK, Wiltshire SP4 0JG",23172105,"2012, 2013",JX227939,83,Altaf,"Altaf (2013, 23172105)"
"Ahmeti S., Ajazi-berisha L., Atkinson B., Brooks T., Bruce C., Chamberlain J., Cook N., Dowall S., Hewson R., Logue C., Naser ramadani G., Osborne J., Thomson G., Tishkova F.","Development of a Real-Time RT-PCR Assay for the Detection of Crimean-Congo Haemorrhagic Fever Virus, Development of a Real-Time RT-PCR Assay for the Detection of Crimean-Congo Hemorrhagic Fever Virus","Health Protection Agency, Manor Farm Road, Salisbury SP4 0JG, UK, Vector Borne Zoonotic Dis. (2012) In press",22217175,"2011, 2012","JN086996, JN108025, JN173797",84,Ahmeti,"Ahmeti (2012, 22217175)"
"Atkinson B., Brooks T., Carroll M., Chamberlain J., Hewson R., Latham J., Logue C., Newman E., Osborne J., Vipond R.","Genome Sequence of Ex-Afghanistan Crimean-Congo Hemorrhagic Fever Virus SCT Strain, from an Imported United Kingdom Case in October 2012","Centre for Emergency Preparedness and Response, E00161-13 (2013), Genome Announc 1 (3), HPA Porton Down, Health Protection Agency, Manor Farm Road, Research, Salisbury, UK, Virology and Pathogenesis, Wiltshire SP4 0JG",23682136,"2012, 2013","JX908640, KC344855, KC344856",85,Atkinson,"Atkinson (2013, 23682136)"
"Balinandi S., Klena J., Kyondo J., Lubwama B., Lutwama J., Mulei S., Nichol S., Nyakarahuka L., Ojwang J., Patel K., Shoemaker T., Strher U., Stroeher U., Tumusiime A.","2015, Investigation of an isolated case of human Crimean-Congo hemorrhagic fever in Central Uganda","1600 Clifton Rd, 88-93 (2018), Atlanta, CDC, GA 30333, Int. J. Infect. Dis. 68, USA, VSPB",29382607,2018,MH178082,86,Balinandi,"Balinandi (2018, 29382607)"
"Almberg M., Balinandi S., Klena J., Kyondo J., Lutwama J., Mugisha L., Mulei S., Nyakarahuka L., Shoemaker T., Tumusiime A., Whitmer S.",Crimean-Congo Hemorrhagic Fever in Uganda 2013-2019,"1600 Clifton Rd. NE, Atlanta, CDC, GA 30333, USA, Unpublished, VSPB",,2021,"MW464943, MW464944, MW464945, MW464946, MW464947, MW464948, MW464949, MW464950, MW464951, MW464952, MW464953, MW464954, MW464955, MW464956, MW464957, MW464958, MW464959, MW464960, MW464961, MW464962, MW464963, MW464964, MW464965, MW464966, MW464967, MW464968, MW464969, MW464970, MW464971, MW464972, MW464973, MW464974, MW464975, MW464976, MW464977, MW464978, MW464979, MW464980, MW464981, MW464982, MW464983, MW464984, MW464985, MW464986",87,Almberg,Almberg (2021)
"Azad-manjiri S., Azizizadeh S., Baniasadi V., Fazlalipour M., Ghasemian R., Hosseini M., Jalali T., Jamshidi Y., Khakifirouz S., Mirahmadi R., Mohammadi T., Salehi-vaziri M.",An isolate of CCHF virus from an Iranian patient in North of Iran,"Iran, No. 69 Pasteur Ave., Tehran 0098, Tehran University of Medical Sciences, Unpublished, Virology",,2016,KY274404,88,Azad-manjiri,Azad-manjiri (2016)
"Azadmanesh K., Baniasadi V., Fazlalipour M., Fereydouni Z., Jalali T., Mohammadi T., Pouriayevali M., Qaedi H., Salehi-vaziri M.",Whole Genome Sequencing of Crimean-Congo Hemorrhagic Fever Orthonairovirus in Iran,"Arboviruses and Viral Hemorrhagic Fevers Department (National Ref Lab), Iran, No 69, Pasteur Ave, Pasteur Institute of Iran, Tehran, Tehran 1316943551, Unpublished",,2018,"MH461097, MH461098, MH461099",89,Azadmanesh,Azadmanesh (2018)
"Belhassen-garcia M., Crego-vicente B., Febrer sendra B., Febrer-sendra B., Fernandez-soto P., Garcia-bernalt diego J., Munor-bellido J., Muro A., Negredo A., Sanchez-seco M.",A Novel RT-LAMP for the Detection of Different Genotypes of Crimean-Congo Haemorrhagic Fever Virus in Patients from Spain,"6411 (2023), Campus Miguel de Unamuno Calle licenciado mendez, Espana, Int J Mol Sci 24 (7), Parasitology Department, Salamanca, Salamanca 37007, University of Salamanca",37047384,"2022, 2023","OP776631, OP776632, OP776633, OP776634, OP889253",90,Belhassen-garcia,"Belhassen-garcia (2023, 37047384)"
"Addo S., Agbodzi B., Ampadu R., Asoala V., Baako B., Behene E., Bentil R., Dadzie S., Diclaro J., Fox A., Harwood J., Kumordjie S., Letizia A., Mingle D., Mosore M., Nimo-paintsil S., Nyarko E., Oduro D., Tagoe J., Yeboah C.",First Whole Genome Isolation of Crimean-Congo Haemorrhagic Fever Virus (CCHFV) in Tick Species within Ghana,"Accra, Ghana, Legon +233, NAMRU-3, P O Box LG 581, University of Ghana Noguchi Memorial Institute for Medical Research, University of Ghana-Legon, Unpublished",,2023,"OQ441063, OQ441064, OQ441065",91,Addo,Addo (2023)
"Belqeiszadeh H., Biglari P., Chinikar S., Fooks A., Ghaffari M., Javaherizadeh S., Mostafavi E., Nowotny N., Shahhosseini N., Telmadarraiy Z.",Phylogeny of tick-derived Crimean-Congo hemorrhagic fever virus strains in Iran,"Bernhard Nocht Institute for Tropical Medicine, Germany, Iran, Pasteur Institute of Iran, Ticks Tick Borne Dis (2016) In press",27491289,"2015, 2016","KT931948, KT931949, KT931950, KT931951, KT931952, KT931953, KT931954, KT931955, KT931956, KT931957, KT931958",92,Belqeiszadeh,"Belqeiszadeh (2016, 27491289)"
"Bosevska G., Cadar D., Emmerich P., Osmani D., Toth E., Von possel R.","2023, Orthonairovirus haemorrhagiae in North Macedonia","Bernhard Nocht Institute for Tropical Medicine, Bernhard-Nocht-Strasse 74, Deutschland, Deutschland 20359, Hamburg, Unpublished, Virus Genomics and Evolution",,2024,"PP963968, PP963969, PP963970, PP963971, PP963972, PP963973",93,Bosevska,Bosevska (2024)
"Alzain M., Atkinson B., Bausch D., Beeching N., Bower H., Brooks T., Carter D., Dowall S., El halawi A., El karsany M., Eldegail M., Fletcher T., Furneaux J., Gannon B., Graham V., Hewson R., Mahmoud I., Mellors J., Mohamed R., Mohamednour S., Osborne J., Osman A., Pullan S., Semper A., Slack G., Taha R., Whitworth J.",Severe Undifferentiated Febrile Illness Outbreaks in the Federal Republic of Sudan: A Retrospective Epidemiological & Diagnostic Cohort Study,"Genomics of Rare and Emerging Human Pathogens, Manor Farm Road, Porton Down, Public Health England, United Kingdom, Unpublished, Wiltshire SP4 0JG",,2019,"MK442893, MK442894, MK442895",94,Alzain,Alzain (2019)
"Atkinson B., Baba S., Bell A., Bosworth A., Bukbuk D., Dowall S., Hewson R., Lewandowski K., Varghese A.","Northeastern Nigeria, Serological and virological evidence of Crimean-Congo Haemorrhagic Fever virus circulation in the human population of Borno state","Manor Farm Road, Porton, Public Health England, Research and Technical Services, UK, Unpublished, Wiltshire SP4 0JG",,2016,"KX238956, KX238957, KX238958",95,Atkinson,Atkinson (2016)
"Barakbayev K., Burashev Y., Chervyakova O., Kozhabergenov N., Mukhami N., Nakhanov A., Orynbayev M., Shynybekova G., Sultankulova K., Zakarya K.",The Prevalence and Genetic Variants of the CCHF Virus Circulating among Ticks in the Southern Regions of Kazakhstan,"841 (2022), Gvardeyskiy, Kazakhstan, Kordai region, Molecular Biology and Genetic Engineering, Pathogens 11 (8), Research Institute for Biological Safety Problems, Zhambulskaya oblast 080409",36014962,2022,"ON783803, ON783804, ON783805",96,Barakbayev,"Barakbayev (2022, 36014962)"
"Bursali A., Dundar E., Ekici M., Keskin A., Tekin S.","Species diversity of ixodid ticks feeding on humans in Amasya, Turkey: seasonal abundance and presence of Crimean-Congo hemorrhagic fever virus","85-93 (2011), Balikesir 10145, Balikesir University, Biology, Fen Edebiyat Fakultesi, J. Med. Entomol. 48 (1), Turkey",21337953,"2010, 2011","GU550068, GU550069, GU550070, GU550071",97,Bursali,"Bursali (2011, 21337953)"
"Bursali A., Dundar E., Ekici M., Keskin A., Mutluay N., Ozkan M., Tekin S.","Crimean-Congo hemorrhagic fever virus in various ixodid tick species from a highly endemic area, Prevalence of Crimean Congo Hemorrhagic Fever Virus (CCHFV) in Ixodid Ticks in a Hyper Endemic Region in Turkey","546-552 (2012), Balikesir 10145, Balikesir Universitesi FEF Biyoloji, Balikesir Universitey, Biology Department, Turkiye, Unpublished, Vet. Parasitol. 186 (3-4)",22119389,"2009, 2012","GU324989, GU324990, GU324991, GU324992, GU324993, GU324994",98,Bursali,"Bursali (2012, 22119389)"
"Ashkettle B., Burt F., Kondiah K., Paweska J., Swanepoel R.","A Simple-Probe real-time PCR assay for genotyping reassorted and non-reassorted isolates of Crimean-Congo hemorrhagic fever virus in southern Africa, Genetic relationship among southern African Crimean-Congo hemorrhagic fever virus isolates and evidence for occurrence of reassortment","34-38 (2010), Bloemfontein 9300, J. Virol. Methods 169 (1), Medical Virology, NHLS/UFS, PO Box 339, South Africa, Unpublished",20599559,"2008, 2010","FJ435364, FJ435365, FJ435366, FJ435367, FJ435368, FJ435369, FJ435370, FJ435371, FJ435372, FJ435373, FJ435374, FJ435375, FJ435376, FJ435377, FJ435378, FJ435379, FJ435380, FJ435381, FJ435382, FJ435383, FJ435384, FJ435385, FJ435386, FJ435387, FJ435388, FJ435389, FJ435390, FJ435391, FJ435392, FJ435393, FJ435394, FJ435395, FJ435396, FJ435397, FJ435398, FJ435399, FJ435400, FJ435401, FJ435402, FJ435403, FJ435404, FJ435405, FJ435406, FJ435407, FJ435408, FJ435409, FJ435410, FJ435411, FJ435412, FJ435413, FJ435414, FJ435415, FJ435416, FJ435417, FJ435418, FJ435419, FJ435420, FJ435421, FJ435422, FJ435423",99,Ashkettle,"Ashkettle (2010, 20599559)"
"Burt F., Swanepoel R.",Molecular epidemiology of African and Asian Crimean-Congo haemorrhagic fever isolates,"659-666 (2005), Epidemiol. Infect. 133 (4), Johannesburg, Modderfontein Road, National Institute for Communicable Diseases, South Africa, Special Pathogens Unit",16050511,2005,"AY905625, AY905626, AY905627, AY905628, AY905629, AY905630, AY905631, AY905632, AY905633, AY905634, AY905635, AY905636, AY905637, AY905638, AY905639, AY905640, AY905641, AY905642, AY905643, AY905644, AY905645, AY905646, AY905647, AY905648, AY905649, AY905650, AY905651, AY905652, AY905653, AY905654, AY905655, AY905656, AY905657, AY905658, AY905659, AY905660, AY905661, AY905662, AY905663",100,Burt,"Burt (2005, 16050511)"
"Burt F., Swanepoel R.",Nucleoprotein gene heterogeneity among South African Crimean-Congo hemorrhagic fever virus isolates,"Johannesburg 2131, National Institute for Virology, Sandringham, South Africa, Special Pathogens Unit, Unpublished",,1997,"U84635, U84636, U84637, U84638, U84639",101,Burt,Burt (1997)
"Ahmeti S., Cadar D., Emmerich P., Jakupi X., Krueger A., Kruger A., Muji S., Robaj A., Sherifi K.","2012, Crimean-Congo Hemorrhagic Fever Virus Clades V and VI (Europe 1 and 2) in Ticks in Kosovo","Bernhard Nocht Institute for Tropical Medicine WHO Collaborating Centre for Arbovirus and Haemorrhagic Fever Reference and Rese, Bernhard-Nocht 74, Division of Arbovirology, E3168 (2014), Germany, Hamburg 20359, PLoS Negl Trop Dis 8 (9)",25255381,2014,"KJ545665, KJ545666, KJ545667, KJ545668, KJ545669, KJ545670, KJ545671, KJ545672, KJ545673, KJ545674, KJ545675, KJ545676, KJ545677, KJ545678, KJ545679, KJ545680, KJ545681, KJ545682, KJ545683, KJ545684, KJ545685, KJ545686, KJ545687, KJ545688, KJ545689, KJ545690, KJ545691, KJ545692, KJ545693, KJ545694, KJ545695, KJ545696, KJ545697, KJ545698, KJ545699, KJ545700, KJ545701, KJ545702, KJ545703, KJ545704",102,Ahmeti,"Ahmeti (2014, 25255381)"
"Barrett A., Bente D., Cajimat M., Estrada-pena A., Habela M., Ksiazek T., Negredo A., Rodriguez S., Schuster I., Swetnam D.","2014, Genomic Characterization of Crimean-Congo Hemorrhagic Fever Virus in Hyalomma Tick from Spain","301 University Blvd., Galveston, Pathology, TX 77555-0610, USA, University of Texas Medical Branch - Galveston, Vector Borne Zoonotic Dis. (2017) In press",28836897,2017,"MF547415, MF547416, MF547417",103,Barrett,"Barrett (2017, 28836897)"
"Ahmed D., Babiker M., Camp J., Howarth B., Karuvantevida N., Khafaga T., Kolodziejek J., Loney T., Mazrooei H., Nowotny N., Osman B., Shah M., Sher shah M., Weidinger P., Wolf N.","2019, Crimean-Congo Hemorrhagic Fever Virus Endemicity in United Arab Emirates","Austria, Emerging Infect. Dis. 26 (5) (2020) In press, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna 1210",32097111,"2019, 2020","MN516481, MN516482, MN516483, MN516484, MN516485, MN516486, MN516487, MN516488",104,Ahmed,"Ahmed (2020, 32097111)"
"Abou tayoun A., Camp J., Kannan D., Karuvantevida N., Kolodziejek J., Loney T., Nowotny N., Osman B., Ramaswamy S., Weidinger P., Wolf N.","Association of Dromedary Camels and Camel Ticks with Reassortant Crimean-Congo Hemorrhagic Fever Virus, United Arab Emirates","2471-2474 (2021), Austria, Center for Virology, Emerg Infect Dis 27 (9), Kinderspitalgasse 15, Medical University of Vienna, Vienna 1090",34424177,2021,"MW548490, MW548491, MW548492, MW548493, MW548494, MW548495, MW548496, MW548497, MW548498, MW548499, MW548500, MW548501, MW548502, MW548503, MW548504",105,Abou tayoun,"Abou tayoun (2021, 34424177)"
"Carhan A., Dincer E., Ozkaya E., Ozkul A., Uyar Y.",Sequence analysis of Crimean-Congo hemorrhagic fever virus between 2006-2008 in Turkey,"Ankara 06100, Ankara 06110, Ankara University, Biotechnology Institute, Cemal Gursel Caddesi, Diskapi, No. 18 Sihhiye, Refik Saydam Hygiene Center, Turkey, Unpublished, Veterinary Faculty, Virology Department",,2008,"FJ601845, FJ601846, FJ601847, FJ601848, FJ601849, FJ601850, FJ601851, FJ601852, FJ601853, FJ601854, FJ601855, FJ601856, FJ601857, FJ601858, FJ601859, FJ601860, FJ601861, FJ601862, FJ601863, FJ601864, FJ601865, FJ601866, FJ601867, FJ601868, FJ601869, FJ601870, FJ601871, FJ601872, FJ601873, FJ601874, FJ601875, FJ601876, FJ601877, FJ601878, FJ601879, FJ601880, FJ601881, FJ601882, FJ601883, FJ601884, FJ601885, FJ601886, FJ601887, FJ601888, FJ601889, FJ601890, FJ601891, FJ601892, FJ601893, FJ601894, FJ601895, FJ601896",106,Carhan,Carhan (2008)
"Bordi L., Capobianchi M., Carletti F., Castilletti C., Chiappini R., Christova I., Di caro A., Ippolito G., Lalle E., Mohareb E., Papa A., Papadimitriou E., Rezza G.",A cluster of inter-human transmission of Crimean-Congo hemorrhagic fever in south-western Bulgaria,"Italy, Laboratory, Rome 00149, Unpublished, Via Portuense 292, Virology",,2008,FJ472634,107,Bordi,Bordi (2008)
"Chamberlain J., Cook N., Hewson R., Lloyd G., Mioulet V., Tolley H.",Co-evolutionary patterns of variation in small and large RNA segments of Crimean-Congo hemorrhagic fever virus,"3337-3341 (2005), Centre for Emergency Preparedness and Response, Health Protection Agency, Health Protection Agency Porton Down, J. Gen. Virol. 86 (PT 12), Novel & Dangerous Pathogens, Porton Down, Salisbury, UK, United Kingdom, WILTS SP4 0JG",16298979,2005,"AY947890, AY947891, DQ076412, DQ076413, DQ076414, DQ076415, DQ076416, DQ076417, DQ076418",108,Chamberlain,"Chamberlain (2005, 16298979)"
"Chamberlain J., Hewson R.","Crimean-Congo Hemorrhagic Fever Virus mRNA for Nucleocapsid (NP gene), S Segment","Centre for Emergency Preparedness and Response, HPA Porton Down, Novel and Dangerous Pathogens, Salisbury, UK, Unpublished, Wiltshire SP4 0JG",,2006,EF123122,109,Chamberlain,Chamberlain (2006)
"Chamberlain J., Hewson R.",Genetic characterization of M segments,"Centre for Emergency Preparedness and Response, Health Protection Agency, Novel & Dangerous Pathogens, Porton Down, Salisbury, UK, Unpublished, Wilts SP4 0JG",,2005,"DQ157174, DQ157175",110,Chamberlain,Chamberlain (2005)
"Chamberlain J., Hewson R., Meissner J.",Methods for sequencing L segments of CCHF viruses,"Centre for Emergency Preparedness and Response, Health Protection Agency - Porton Down, Novel & Dangerous Pathogens, Porton Down, Salisbury, UK, Unpublished, Wilts SP4 0JG",,"2005, 2006",DQ099335,111,Chamberlain,Chamberlain (2006)
"Chamberlain J., Hewson R., Mitchell R.",Genetic characterization of African M segments of CCHF virus,"Centre for Emergency Preparedness and Response, Health Protection Agency, Novel & Dangerous Pathogens, Porton Down, Salisbury, United Kingdom, Unpublished, WILTS SP4 0JG",,2005,DQ094832,112,Chamberlain,Chamberlain (2005)
"Bouzari S., Chinikar S., Fooks A., Jalali T., Khakifirouz S., Mostafavi E., Nowotny N., Shah-hosseini N., Shahhosseini N., Shokrgozar M.",Genetic diversity of Crimean-Congo hemorrhagic fever virus strains from Iran,"Arboviruses and Viral Hemorrhagic Fevers Laboratory (National Reference Laboratory), Bernhard Nocht Institute for Tropical Medicine, Germany, Hamburg, Iran, Pasteur Ave, Pasteur Institute of Iran, Tehran, Unpublished, Virology",,2014,"KM401454, KP075635, KP075636, KP075637, KP075638, KP075639, KP075640, KP075641, KP075642, KP075643, KP075644, KP075645, KP075646, KP075647, KP075648, KP075649, KP075650, KP075651, KP075652, KP075653, KP075654, KP075655, KP075656, KP075657, KP075658, KP075659, KP075660, KP075661, KP075662, KP075663, KP075664, KP075665, KP075666, KP075667, KP075668, KP075669, KP075670, KP075671, KP075672, KP075673, KP075674, KP075675, KP075676, KP075677, KP075678, KP075679, KP075680, KP075681, KP075682, KP075683",113,Bouzari,Bouzari (2014)
"Ahmadnia S., Azizi K., Chinikar S., Fakoorziba M., Jalali T., Khakifirouz S., Moemenbellah-fard M., Naddaf-sani A., Shah-hosseini N.",First phylogenetic analysis of a Crimean-Congo hemorrhagic fever virus genome in naturally infected Rhipicephalus appendiculatus ticks (Acari: Ixodidae),"#69 Pasteur Ave, Arch. Virol. (2015) In press, Iran, Laboratory of Arboviruses and Viral Hemorrhagic Fevers, Pasteur Institute of Iran, Tehran 1316943551",25742932,"2014, 2015","KP223318, KP223319, KP223320, KP223321",114,Ahmadnia,"Ahmadnia (2015, 25742932)"
"Chinikar S., Ghiasi S., Haeri A., Moradi M., Mostafavi E., Mozafari A., Piazak N., Tahmasebi F.",Molecular Epidemiology of Crimean-Congo Hemorrhagic Fever Virus Genome Isolates of Ticks from Hamadan Province of Iran,"Iran, Laboratory of Arboviruses and Viral Haemorrhagic Fevers (National Ref. Lab), No. 69, Pasteur Ave, Pasteur Institute of Iran, Tehran 1316943551, Unpublished",,2010,"GU456723, GU456724, GU456725, GU456726, GU456727, GU456728",115,Chinikar,Chinikar (2010)
"Bladh L., Chinikar S., Goya M., Houshmand B., Johansson M., Lundkvist A., Mirazimi A., Nilsson M., Persson S., Plyusnin A., Shinikar S.",Genetic analysis of Crimean-congo hemorrhagic fever virus in Iran,"404-411 (2004), Centre for Microbiological Preparedness, J. Med. Virol. 73 (3), Nobels vag 18, Solna 171 82, Stockholm, Sweden, Swedish Institue for Infectious Disease Control, Swedish Institute for Infectious Disease Control",15170636,"2003, 2004","AY366373, AY366374, AY366375, AY366376, AY366377, AY366378, AY366379, AY366380, AY366381, AY366382, AY366383, AY366384, AY366385, AY366386, AY366387",116,Bladh,"Bladh (2004, 15170636)"
"Bouzari S., Chinikar S., Jalali T., Mostafavi E., Shah-hosseini N., Shokrgozar M.",,"69 Pasteur Ave, Arboviruses and Viral Haemorrhagic Fevers Laboratory (National Ref. Lab), Iran, Pasteur Institute of Iran, Tehran, Tehran 1316943551",,"2013, 2014",KF796639,117,Bouzari,Bouzari (2014)
"Bouzari S., Chinikar S., Groschup M., Jalali T., Khakifirouz S., Mostafavi E., Niedrig M., Nowotny N., Shah-hosseini N., Shokrgozar M.",Assessment of Recombination in the S-segment Genome of Crimean-Congo Hemorrhagic Fever Virus in Iran,"12-23 (2015), 69 Pasteur Ave, Arboviruses and Viral Haemorrhagic Fevers Laboratory (National Ref. Lab), Iran, J Arthropod Borne Dis. 10 (1), Pasteur Institute of Iran, Tehran, Virology Department",27047968,"2014, 2015","KJ027521, KJ027522, KJ196326, KJ485700, KJ566219, KJ676542",118,Bouzari,"Bouzari (2015, 27047968)"
"Chinikar S., Shahhosseini N.","Crimean-Congo Hemorrhagic Fever Virus in ticks and livestock: a Molecular and Seroepidemiological Survey in Borderline of Iran-Pakistan-Gulf of Oman Littoral, Phylogenetic study on Crimean-Congo hemorrhagic fever virus obtained from human cases in the northern Iran","Bernhard Nocht Institute for Tropical Medicine, Bernhard Nocht Institute fro Tropical Medicine, Germany, Hamburg, Iran, Pasteur Institute of Iran, Tehran, Unpublished, Virology, virilogy",,2015,"KT588640, KT588641, KT588642, KU242339, KU242340, KU242341",119,Chinikar,Chinikar (2015)
"Chinikar S., Fooks A., Hosseini-chegeni A., Jalali T., Kayedi M., Khakifirouz S., Mostafavi E., Naghizadeh A., Niedrig M., Shahhosseini N.",Crimean-Congo Hemorrhagic Fever Virus Clade IV (Asia 1) in Ticks of Western Iran,"Iran, J. Med. Entomol. (2015) In press, Pasteur Institute of Iran, Tehran",26336221,2015,"KR136174, KR136175, KR136176, KR136177, KR136178, KR136179, KR136180, KR136181, KR136182, KR136183, KR136184, KR136185, KR136186, KR136187, KR136188, KR136189, KR136190, KR136191, KR136192, KR136193, KR136194, KR136195, KR136196, KR136197, KR136198, KR136199, KR136200, KR136201, KR136202",120,Chinikar,"Chinikar (2015, 26336221)"
"Abdel-dayem M., Chisholm K., Dueger E., Fahmy N., Samaha H., Villinski J., Zayed A.","Crimean-congo hemorrhagic fever virus in ticks from imported livestock, Egypt","181-182 (2012), 3A Imtedad Ramsis st., Cairo, Cairo 11517, Egypt, Emerging Infect. Dis. 18 (1), NAMRU#3, Vector Biology Research Program",22260737,"2011, 2012",JF706233,121,Abdel-dayem,"Abdel-dayem (2012, 22260737)"
"Bastos A., Chiuya T., Fevre E., Masiga D.",Tick-borne arbovirus and rickettsiae surveillance at livestock markets and slaughterhouses in western Kenya: Implications for dissemination and human infection,"ICIPE, ICIPE Road, Kenya, Mbbu, Nairobi 00100, Unpublished",,2019,"MN267048, MN267049",122,Bastos,Bastos (2019)
"Chohan S., Jamil N., Khan S., Naqvi W.",DNA Sequence based identification and characterization of the Crimean-Congo Hemorrhagic Fever Virus,"Centers of Excellence in Sciences and Applied Technology, ICT 44000, Islamabad, Molecular Biology Division, Pakistan, Unpublished",,2024,"PP801019, PP801020, PP801021, PP801022, PP801023, PP801024, PP801025, PP801026, PP801027, PP801028, PP801029, PP801030, PP801031, PP801032, PP801033",123,Chohan,Chohan (2024)
"Andonova L., Bordi L., Capobianchi M., Carletti F., Castilletti C., Chiappini R., Christova I., Di caro A., Ippolito G., Kalvatchev N., Lalle E., Mohareb E., Papa A., Papadimitriou E., Rezza G.","Crimean-Congo hemorrhagic fever, southwestern Bulgaria","983-985 (2009), Aristotle University of Thessaloniki, Biorepository, Dept. of Microbiology, Emerging Infect. Dis. 15 (6), Greece, Italy, Medical School, National Institute for Infectious Diseases, RM 00149, Rome, Thessaloniki, Via Portuense 292",19523314,"2008, 2009","FJ160262, FJ445749",124,Andonova,"Andonova (2009, 19523314)"
"Christova I., Kalvatchev N., Papa A., Petrov A., Stoycheva M., Vatev N., Vutchev D.",Fatal outcome of coinfection of crimean-congo hemorrhagic Fever and malaria,"131-134 (2015), Aristotle University of Thessaloniki, Dept. of Microbiology, Greece, Jpn. J. Infect. Dis. 68 (2), Medical School, Thessaloniki 54124",25420643,"2013, 2015",KJ000206,125,Christova,"Christova (2015, 25420643)"
